,工作名称,公司名称,公司规模,公司性质,月薪,工作经验,招聘人数,最低学历,工作性质,五险一金,带薪休假,员工旅游,周末双休,弹性工作,餐补,交通补助,年底双薪,股票期权
7424,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
7425,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
7426,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
7427,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
7428,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7429,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
7430,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7431,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7432,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
7433,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7434,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
7435,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
7436,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
7437,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
7438,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
7439,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
7440,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
7441,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
7442,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
7443,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
7444,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
7445,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
7446,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
7447,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
7448,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
7449,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
7450,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
7451,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
7452,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
7453,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
7454,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
7455,客户经理,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,5,大专,全职,True,False,False,False,False,True,True,False,False
7456,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
7457,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
7458,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
7459,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
7460,诚聘电话销售+高提成双休,北京融信时代信息咨询服务有限公司 ,20-99人,保密,17500.5,1-3年,2,大专,全职,False,False,False,True,False,False,False,False,False
7461,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
7462,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
7463,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
7464,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
7465,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
7466,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
7467,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7468,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
7469,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
7470,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
7471,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
7472,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
7473,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
7474,资深客户经理,《中国企业家》杂志社 ,100-499人,国企,11000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7475,高级客户经理,《中国企业家》杂志社 ,100-499人,国企,15000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7476,客户经理,《中国企业家》杂志社 ,100-499人,国企,8500.0,3-5年,5,本科,全职,True,False,False,True,False,True,False,True,False
7477,客户经理市场销售,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,10,大专,全职,True,False,False,True,False,True,True,False,False
7478,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7479,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
7480,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
7481,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
7482,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
7483,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
7484,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
7485,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
7486,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
7487,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
7488,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7489,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
7490,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7491,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7492,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
7493,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7494,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
7495,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
7496,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
7497,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
7498,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
7499,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
7500,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
7501,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
7502,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
7503,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
7504,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
7505,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
7506,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
7507,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
7508,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
7509,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
7510,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
7511,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
7512,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
7513,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
7514,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
7515,客户经理,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,5,大专,全职,True,False,False,False,False,True,True,False,False
7516,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
7517,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
7518,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
7519,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
7520,云计算大客户经理,北京环宇数通科技有限公司 ,100-499人,民营,9000.0,1-3年,5,大专,全职,False,False,False,True,True,True,True,False,False
7521,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
7522,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
7523,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
7524,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
7525,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
7526,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
7527,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7528,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
7529,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
7530,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
7531,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
7532,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
7533,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
7534,客户经理,《中国企业家》杂志社 ,100-499人,国企,8500.0,3-5年,5,本科,全职,True,False,False,True,False,True,False,True,False
7535,资深客户经理,《中国企业家》杂志社 ,100-499人,国企,11000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7536,客户经理市场销售,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,10,大专,全职,True,False,False,True,False,True,True,False,False
7537,高级客户经理,《中国企业家》杂志社 ,100-499人,国企,15000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7538,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7539,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
7540,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
7541,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
7542,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
7543,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
7544,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
7545,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
7546,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
7547,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
7548,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7549,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
7550,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7551,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7552,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
7553,高级客户经理,华夏云卫(北京)技术有限公司 ,20-99人,民营,15000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7554,客户代表+运营+市场+销售,北京动因体育科技有限公司 ,1000-9999人,民营,9000.5,1年以下,20,大专,全职,False,False,True,False,True,False,False,False,True
7555,客户经理,北京海科天地网络技术开发中心 ,1000-9999人,国企,7000.5,不限,1,大专,全职,False,False,True,True,True,False,False,False,False
7556,高级客户/销售经理,闳约深美（北京）装饰设计有限公司 ,20-99人,民营,12500.5,1-3年,4,大专,全职,True,False,True,False,False,False,False,False,False
7557,客户经理,北京市外商投资企业服务中心 ,100-499人,事业单位,5000.5,不限,2,不限,全职,False,False,False,False,False,False,False,False,False
7558,客户经理,北京外设天下电子商务有限公司 ,20-99人,民营,5000.5,不限,1,本科,全职,True,False,False,False,False,False,False,True,False
7559,客户经理,北京极客邦科技有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,False,True,True,False,False
7560,客户经理,北京容大友信科技有限公司 ,20-99人,民营,8000.0,不限,3,不限,全职,True,False,False,True,True,False,False,False,False
7561,客户经理,深圳市中旭企业管理股份有限公司北京咨询分公司 ,20-99人,民营,6000.0,不限,10,不限,全职,True,False,True,True,True,False,False,False,False
7562,客户经理,北京瑞瀚资产管理有限公司 ,20-99人,民营,6000.0,不限,3,大专,全职,True,False,True,True,False,True,True,False,False
7563,教育行业大客户经理,宏碁电脑（上海）有限公司 acer computer (shanghai)Ltd. ,500-999人,外商独资,12500.5,3-5年,1,本科,全职,True,False,True,False,False,False,False,True,False
7564,客户经理,北京聚优世纪网络科技有限公司 ,20-99人,民营,5000.0,不限,3,大专,全职,True,False,True,True,False,True,False,False,False
7565,客户经理,北京力坚消防科技有限公司 ,20-99人,外商独资,7000.5,不限,1,大专,全职,True,False,False,True,True,True,True,False,False
7566,客户经理,北京必浩得知识产权代理有限公司 ,20-99人,民营,9000.5,1-3年,1,本科,全职,True,False,False,False,True,True,False,False,False
7567,接受18届实习生 销售储备干部,北京链家房地产经纪有限公司 ,10000人以上,民营,12500.5,不限,5,本科,全职,True,False,True,False,True,False,False,False,False
7568,私人高端理财顾问,北京源石创世财富资产管理有限公司 ,1000-9999人,上市公司,5000.5,1-3年,5,本科,全职,True,False,True,False,True,False,False,False,False
7569,广告客户经理（SSP）,道有道(北京)科技股份有限公司 ,100-499人,上市公司,11500.0,1-3年,2,本科,全职,True,False,False,False,True,True,True,False,False
7570,客户经理,工汇(北京)科技有限公司 ,100-499人,民营,7000.5,不限,10,大专,全职,True,False,False,True,True,True,True,False,False
7571,客户经理,北京易成时代科技有限公司 ,100-499人,股份制企业,17500.5,1-3年,20,大专,全职,True,False,False,False,False,False,True,True,False
7572,客户经理（五险一金+双休）,高塔品牌顾问(北京)有限公司 ,100-499人,民营,7000.5,不限,1,不限,全职,True,False,False,False,False,True,True,False,False
7573,工程咨询客户经理,北京国融兴华工程项目管理有限公司 ,100-499人,民营,9000.5,1-3年,1,本科,全职,True,False,True,True,True,True,False,False,False
7574,项目经理,北京华融达科技有限公司 ,20-99人,民营,10000.0,1-3年,5,大专,全职,False,False,False,False,False,False,False,False,False
7575,客户经理,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,5,大专,全职,True,False,False,False,False,True,True,False,False
7576,市场开发经理,上唐海外工程有限公司 ,100-499人,民营,8000.0,1-3年,3,大专,全职,True,False,True,False,False,True,False,True,False
7577,业务经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,12500.5,1-3年,3,本科,全职,True,False,False,False,False,False,True,False,False
7578,1001客户经理,北京字节跳动科技有限公司 ,10000人以上,民营,9000.5,不限,5,大专,全职,False,False,False,False,True,True,False,False,False
7579,客户经理,北京知为先项目管理咨询有限公司 ,100-499人,股份制企业,7000.5,1-3年,1,本科,全职,True,False,False,True,False,True,True,False,False
7580,云计算大客户经理,北京环宇数通科技有限公司 ,100-499人,民营,9000.0,1-3年,5,大专,全职,False,False,False,True,True,True,True,False,False
7581,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
7582,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
7583,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
7584,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
7585,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
7586,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
7587,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7588,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
7589,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
7590,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
7591,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
7592,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
7593,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
7594,客户经理,《中国企业家》杂志社 ,100-499人,国企,8500.0,3-5年,5,本科,全职,True,False,False,True,False,True,False,True,False
7595,客户经理市场销售,北京医生有限责任公司 ,20-99人,国企,7000.5,1-3年,10,大专,全职,True,False,False,True,False,True,True,False,False
7596,高级客户经理,《中国企业家》杂志社 ,100-499人,国企,15000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7597,资深客户经理,《中国企业家》杂志社 ,100-499人,国企,11000.0,5-10年,3,本科,全职,True,False,False,True,False,True,False,True,False
7598,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
7599,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
7600,IDC网络资源客户经理,北京华夏雅库网络科技股份有限公司 ,20-99人,股份制企业,10000.0,不限,12,大专,全职,True,False,False,False,True,False,True,False,False
7601,销售经理,北京易咖科技有限公司 ,20-99人,民营,12500.5,1-3年,50,本科,全职,True,False,False,True,True,False,False,False,True
7602,客户经理,北京互动百科网络技术股份有限公司 ,500-999人,上市公司,9000.0,不限,3,不限,全职,True,False,False,True,False,True,False,False,False
7603,客户经理,北京月亮湖投资担保有限公司 ,20-99人,民营,6500.0,不限,10,不限,全职,False,False,False,False,False,False,True,False,False
7604,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
7605,市场经理,北京川盛天华投资咨询有限公司 ,500-999人,股份制企业,7000.5,不限,1,不限,全职,True,False,True,False,False,False,False,False,False
7606,我爱我家直聘店经理,北京爱家营企业管理有限公司百子湾分公司 ,10000人以上,股份制企业,17500.5,1-3年,8,大专,全职,True,False,True,False,False,False,False,False,False
7607,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
7608,客户经理,北京华博信国际咨询有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7609,客户经理,北京日益盛投资管理有限公司工体北路营业部 ,10000人以上,民营,9000.5,1-3年,3,大专,全职,True,False,True,True,False,False,False,False,False
7610,大客户经理（企事业单位方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7611,客户经理（中小学方向）,北京星光拓诚投资有限公司 ,100-499人,股份制企业,7000.5,3-5年,3,本科,全职,False,False,True,True,True,True,False,False,False
7612,客户经理,北京开心易购商贸有限公司 ,20-99人,民营,7000.5,1-3年,3,不限,全职,False,False,False,True,False,False,False,True,False
